image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_003/eSc_line_c539e2c4.png,82,80,2,0.024390243902439025,0.03333333507180214,,,
data/oldNepaliDataset_new/images/DNA_0012_0007/eSc_line_3cd0a031.png,47,48,5,0.10638297872340426,0.056603774428367615,क|ा|र|ज,1.4536246453644708e-05|4.77309095003875e-06|7.5307375482225325e-06|0.0012292943429201841,0.9999992847442627|0.9999998807907104|0.9999996423721313|0.9998968839645386
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_ce78f8da.png,5,6,2,0.4,0.4000000059604645,ल|्,0.7647658586502075|0.9881038069725037,0.8456902503967285|0.6012563109397888
data/oldNepaliDataset_new/images/DNA_1_00000054/eSc_line_c3b06a9d.png,57,55,2,0.03508771929824561,0.03333333507180214,,,
data/oldNepaliDataset_new/images/20/eSc_line_10f1f218.png,71,73,3,0.04225352112676056,0.012195121496915817,त|ु|न,0.008673310279846191|0.3701689839363098|6.907057104399428e-05,0.9989292025566101|0.9156051874160767|0.9999959468841553
data/oldNepaliDataset_new/images/DNA_0001_0368/eSc_line_78a84a60.png,49,50,3,0.061224489795918366,0.05882352963089943,.|घ|ह,0.39940452575683594|0.8738319277763367|1.1579463481903076,0.879285991191864|0.7974826693534851|0.4896496832370758
data/oldNepaliDataset_new/images/DNA_0015_0290/eSc_line_e6979dc9.png,53,52,4,0.07547169811320754,0.050847455859184265,न|नक|ु,0.0001305585610680282|0.016327042132616043|0.0005032685585319996,0.9999908208847046|0.9982848763465881|0.9999556541442871
data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_268bc19d.png,45,46,3,0.06666666666666667,0.06382978707551956,पत|व|।,0.06191903352737427|0.005181207787245512|0.002110616769641638,0.9899489879608154|0.999543309211731|0.99981290102005
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_32ed68b3.png,42,40,3,0.07142857142857142,0.06521739065647125,प,0.9835772514343262,0.5285946130752563
data/oldNepaliDataset_new/images/DNA_0001_0006/eSc_line_71b86d70.png,50,51,4,0.08,0.050847455859184265,अ|च|द|ध,0.029921896755695343|1.0865678787231445|1.4793109893798828|1.5187448263168335,0.9953163862228394|0.6054469347000122|0.43452510237693787|0.5295689702033997
