ground_truth,व,न,र,प,म,त,ह,क,द,य,ष,स,उ,च,ज,ट,श,थ,ल,ई,ड,ध,ऊ,छ,अ,इ,घ,फ,ग,ठ
न,0,0,3,0,3,10,0,2,0,0,2,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
व,0,0,0,5,0,1,1,4,1,0,3,1,1,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
द,2,0,3,2,0,0,7,2,0,1,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0
ल,0,10,3,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
र,0,2,0,1,0,2,1,1,2,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
च,13,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
म,0,2,0,4,0,1,0,0,1,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ष,6,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0
क,4,2,0,1,0,1,1,0,1,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
प,1,0,0,0,1,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
स,0,0,2,0,4,1,2,2,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ह,1,2,3,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
त,0,7,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
श,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
य,1,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
इ,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0
थ,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
उ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0
ग,0,0,1,0,1,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ज,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
आ,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ठ,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ड,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
भ,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ऊ,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ट,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ढ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2
ए,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
छ,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
्,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
