page,image_path,ground_truth,prediction,raw_cer,fuzzy_corrected,fuzzy_cer,best_correction,best_cer
CA__The Cambridge Manuscript_Page_008,data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_008/eSc_line_5a3784b3.png,कामाढोकिदीरह्योरनिद्रापर्यो.तवउस्विहानरातविहायापछि.त्यस्लाईउठाई.विधिपूर्वकशि,कामाढोकिदीरह्योरतिदापर्यो.तवउस्विहानैरातविहायापछि.त्यस्लाईउठाई.विधिपूर्वकशि,0.0526315793395042,कामाढोकिदीरह्योरतिदापर्यो.तवउस्विहानैरातविहायापछि.त्यस्लाईउठाई.विधिपूर्वकशि,0.05263157933950424,कामाढोकिदीरह्योरतिदापर्यो.तवउस्विहानैरातविहायापछि.त्यस्लाईउठाई.विधिपूर्वकशि,0.05263157933950424
DNA_2_00000051_result,data/oldNepaliDataset_new/images/DNA_2_00000051_result/eSc_line_8789ba18.png,लंगिकोरभरतपुरकोपुसमालाडाईभयेछफिलंगिकोपल्ट,लंगिकोरभरतपुरकोपुसमालाडाईभयेछफिलंगिकोपल्ट,0.0,लंगिकोरभरतपुरकोपुसमालाडाईभयेछफिलंगिकोपल्ट,0.0,लंगिकोरभरतपुरकोपुसमालाडाईभयेछफिलंगिकोपल्ट,0.0
DNA_1_00000116,data/oldNepaliDataset_new/images/DNA_1_00000116/eSc_line_b71db15c.png,जाई.काश्मेरकोभरमगढ.किल्लाहान्नजाँदा.दुईहज्जार.पचिस्सैजवान.रनजीत्सिंकोषर्चपनी.,जाई.काश्मेरकोअरमगढिकिल्लाहान्तजाँदा.दुईहजार.परिस्सैजवान.रनजीत्सिंकोषर्चपनी.,0.0779220759868621,जाई.काश्मेरकोअरमगढिकिल्लाहान्तजाँदा.दुईहजार.परिस्सैजवान.रनजीत्सिंकोषर्चपनी.,0.07792207598686218,जाई.काश्मेरकोअरमगढिकिल्लाहान्तजाँदा.दुईहजार.परिस्सैजवान.रनजीत्सिंकोषर्चपनी.,0.07792207598686218
DNA_0001_0367,data/oldNepaliDataset_new/images/DNA_0001_0367/eSc_line_b01dafff.png,हवचिनगयापछिउन्काअसवावलिलामहुदालिलाम्घर्मादेष्याथ्याँ.पैल्हे,हवचिनगयापछिअन्काअसवावलिलाम्हुदालिलाम्घर्मादेष्याथ्या.पैल्हे,0.0508474558591842,हवचिनगयापछिअन्काअसवावलिलाम्हुदालिलाम्घर्मादेष्याथ्या.पैल्हे,0.050847455859184265,हवचिनगयापछिअन्काअसवावलिलाम्हुदालिलाम्घर्मादेष्याथ्या.पैल्हे,0.050847455859184265
DNA_1_00000137,data/oldNepaliDataset_new/images/DNA_1_00000137/eSc_line_f5df72da.png, हा लसिंलाईभन्यायोसवकार्षानामैलेहजुरलाईचह्रायाँभन्या.नौनि,हालसिंलाईभन्यायोसवकार्षानामैलेहजुरलाईचहुँयाँभन्या.नौनि,0.0545454546809196,हालसिंलाईभन्यायोसवकार्षानामैलेहजुरलाईचहुँयाँभन्या.नौनि,0.08771929889917374,हालसिंलाईभन्यायोसवकार्षानामैलेहजुरलाईचहुँयाँभन्या.नौनि,0.08771929889917374
DNA_2_00000293_result,data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_f7622ca3.png,काहै।मेरेकुसूर ,काहै।मेरेकुसूरमाफा,0.0588235296308994,काहै।मेरेकुसूरमाफा,0.2666666805744171,काहै।मेरेकुसूरमाफा,0.2666666805744171
CA__The Cambridge Manuscript_Page_021,data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_021/eSc_line_b4f53f7e.png,संस्कारभावलेछाडीआउंछन्॥॥तस्दिनदेषि.तेस्जग्गानागार्जुनभनिनामप्रख्यातभैगयो॥॥तेस्ता,सस्कारभावलेछाडीआउछन्॥॥तस्दिनदेषि.तेस्जग्गानार्जुनभनिनामप्रख्यातभैगयो॥व॥तेस्मा,0.0750000029802322,सस्कारभावलेछाडीआउछन्॥॥तस्दिनदेषि.तेस्जग्गानार्जुनभनिनामप्रख्यातभैगयो॥व॥तेस्मा,0.07500000298023224,सस्कारभावलेछाडीआउछन्॥॥तस्दिनदेषि.तेस्जग्गानार्जुनभनिनामप्रख्यातभैगयो॥व॥तेस्मा,0.07500000298023224
DNA_1_00000116,data/oldNepaliDataset_new/images/DNA_1_00000116/eSc_line_b5a03541.png,डेराडेराजाई.कसैलाईविर्तादिउँला.कसैलाई5।7हज्जार.रूपैयादिउँला.कसैलाईदर्माहवढा,डेराडेराजाई.कसैलाईविर्तादिउँला.कसैलाई5।0हज्जार.रूपैयादिउँला.कसैलाईदर्माहवढा,0.0133333336561918,डेराडेराजाई.कसैलाईविर्तादिउँला.कसैलाई5।0हज्जार.रूपैयादिउँला.कसैलाईदर्माहवढा,0.013333333656191826,डेराडेराजाई.कसैलाईविर्तादिउँला.कसैलाई5।0हज्जार.रूपैयादिउँला.कसैलाईदर्माहवढा,0.013333333656191826
DNA_1_00000404,data/oldNepaliDataset_new/images/DNA_1_00000404/eSc_line_ee4b7a69.png,निकोजमिनदवायाकोषवरसुनिसर्कार.कम्पनिकातर्फवाटपनिकेहिफौजवाहातैनाथभयाकोछयो,निकोजमिनदवायाकोषवरसुनिसर्कार.कम्पनिकातर्फवाटपनिकेहिफैजवाहातैनायमयाकोछ.प्यो,0.0845070406794548,निकोजमिनदवायाकोषवरसुनिसर्कार.कम्पनिकातर्फवाटपनिकेहिफैजवाहातैनायमयाकोछ.प्यो,0.0845070406794548,निकोजमिनदवायाकोषवरसुनिसर्कार.कम्पनिकातर्फवाटपनिकेहिफैजवाहातैनायमयाकोछ.प्यो,0.0845070406794548
CA__The Cambridge Manuscript_Page_010,data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_010/eSc_line_37db6d7e.png,क्यापछि.फेरीआफ्नाघरकोभत्काई.वहीजग्गामाविहारवनाई.आफ्नाभावले.वोधिसत्वकामूर्त्तिस्थापनागरी.,क्यापछि.फेरीआफ्नाघरकोभत्काई.वहीजग्गामाविहारवनाई.आफ्नाभावले.वोधिसत्वकामूर्त्तिस्थापनागरी.मेही,0.0454545468091964,क्यापछि.फेरीआफ्नाघरकोभत्काई.वहीजग्गामाविहारवनाई.आफ्नाभावले.वोधिसत्वकामूर्त्तिस्थापनागरी.मेही,0.04545454680919647,क्यापछि.फेरीआफ्नाघरकोभत्काई.वहीजग्गामाविहारवनाई.आफ्नाभावले.वोधिसत्वकामूर्त्तिस्थापनागरी.मेही,0.04545454680919647
