char,total_count,error_count,error_rate
्,1545,139,0.08996763754045307
र,1301,84,0.06456571867794005
ा,2176,55,0.025275735294117647
ं,240,49,0.20416666666666666
न,861,46,0.053426248548199766
ु,481,43,0.0893970893970894
व,681,42,0.06167400881057269
द,449,41,0.09131403118040089
.,569,41,0.07205623901581722
ल,563,33,0.0586145648312611
म,648,28,0.043209876543209874
ष,212,27,0.12735849056603774
य,544,27,0.04963235294117647
स,666,27,0.04054054054054054
च,125,25,0.2
ह,462,25,0.05411255411255411
त,633,25,0.03949447077409163
क,825,24,0.02909090909090909
े,443,21,0.04740406320541761
ग,385,20,0.05194805194805195
प,427,19,0.04449648711943794
ू,129,18,0.13953488372093023
श,188,17,0.09042553191489362
ो,474,16,0.03375527426160337
।,55,15,0.2727272727272727
ज,370,15,0.04054054054054054
ँ,46,13,0.2826086956521739
भ,257,13,0.05058365758754864
ि,898,13,0.014476614699331848
थ,89,12,0.1348314606741573
इ,80,11,0.1375
ड,84,10,0.11904761904761904
आ,103,10,0.0970873786407767
उ,105,10,0.09523809523809523
ै,160,10,0.0625
ी,404,10,0.024752475247524754
/,10,9,0.9
ट,102,9,0.08823529411764706
ढ,26,8,0.3076923076923077
ठ,47,8,0.1702127659574468
ऊ,9,7,0.7777777777777778
ए,18,7,0.3888888888888889
ण,78,7,0.08974358974358974
अ,108,7,0.06481481481481481
छ,129,7,0.05426356589147287
ौ,33,6,0.18181818181818182
1,65,6,0.09230769230769231
ः,12,5,0.4166666666666667
ब,19,5,0.2631578947368421
ऐ,5,4,0.8
झ,15,4,0.26666666666666666
ञ,22,4,0.18181818181818182
2,28,4,0.14285714285714285
घ,34,4,0.11764705882352941
ध,106,4,0.03773584905660377
0,16,3,0.1875
6,17,3,0.17647058823529413
ृ,20,3,0.15
फ,89,3,0.033707865168539325
ऽ,2,2,1.0
\,4,2,0.5
ख,12,2,0.16666666666666666
4,14,2,0.14285714285714285
3,14,2,0.14285714285714285
7,15,2,0.13333333333333333
॥,33,2,0.06060606060606061
ई,119,2,0.01680672268907563
ओ,1,1,1.0
:,2,1,0.5
ङ,5,1,0.2
9,10,1,0.1
5,22,1,0.045454545454545456
8,25,1,0.04
औ,9,0,0.0
ऋ,1,0,0.0
-,13,0,0.0
