token,gt,prob,correct,prob_bin
ह,ह,0.9999978542327881,True,0.9–1.0
ा,ा,0.9999973773956299,True,0.9–1.0
य,य,0.9999957084655762,True,0.9–1.0
े,े,0.9999878406524658,True,0.9–1.0
\,\,0.8402273654937744,True,0.8–0.9
श,श,0.9999929666519165,True,0.9–1.0
्,्,0.9999979734420776,True,0.9–1.0
र,र,0.9999998807907104,True,0.9–1.0
ी,ी,0.9999970197677612,True,0.9–1.0
द,द,0.9999953508377075,True,0.9–1.0
ु,ु,0.999998927116394,True,0.9–1.0
र,र,0.9999991655349731,True,0.9–1.0
्,्,0.9999972581863403,True,0.9–1.0
ग,ग,0.9999990463256836,True,0.9–1.0
ा,ा,0.9999841451644897,True,0.9–1.0
स,स,0.9999978542327881,True,0.9–1.0
ह,ह,0.9999990463256836,True,0.9–1.0
ा,ा,0.9999980926513672,True,0.9–1.0
य,य,0.9999951124191284,True,0.9–1.0
.,,0.9983296990394592,False,0.9–1.0
\,\,0.9997314810752869,True,0.9–1.0
त,त,0.999826967716217,True,0.9–1.0
प,,0.455939382314682,False,0.4–0.5
ठ,,0.9994701743125916,False,0.9–1.0
ु,ु,0.9999780654907227,True,0.9–1.0
न,न,0.9998171925544739,True,0.9–1.0
ा,ा,0.999997615814209,True,0.9–1.0
प,प,0.7213464379310608,True,0.7–0.8
ं,ं,0.7253016233444214,True,0.7–0.8
ड,ड,0.9999810457229614,True,0.9–1.0
ि,ि,0.9999942779541016,True,0.9–1.0
त,त,0.9921860694885254,True,0.9–1.0
अ,अ,0.9287264943122864,True,0.9–1.0
र,र,0.9998021721839905,True,0.9–1.0
्,्,0.998968243598938,True,0.9–1.0
ज,ज,0.9999852180480957,True,0.9–1.0
्,्,0.9999967813491821,True,0.9–1.0
य,य,0.999745786190033,True,0.9–1.0
ा,ा,0.9999961853027344,True,0.9–1.0
ल,ल,0.9999332427978516,True,0.9–1.0
प,प,0.981320321559906,True,0.9–1.0
ा,ा,0.9999887943267822,True,0.9–1.0
न,न,0.9999213218688965,True,0.9–1.0
ि,ि,0.9999972581863403,True,0.9–1.0
ह,ह,0.9997814297676086,True,0.9–1.0
ा,ा,0.9999737739562988,True,0.9–1.0
ल,ल,0.9995996356010437,True,0.9–1.0
न,न,0.9901158213615417,True,0.9–1.0
्,्,0.9999808073043823,True,0.9–1.0
य,य,0.9829400777816772,True,0.9–1.0
ा,ा,0.999969482421875,True,0.9–1.0
श,श,0.915169358253479,True,0.9–1.0
्,्,0.9999979734420776,True,0.9–1.0
र,र,0.9977850914001465,True,0.9–1.0
ी,ी,0.9999300241470337,True,0.9–1.0
जन,जन,0.9999992847442627,True,0.9–1.0
रल,रल,0.9999881982803345,True,0.9–1.0
भ,भ,0.9637166261672974,True,0.9–1.0
ी,ी,0.9999669790267944,True,0.9–1.0
मस,मस,0.9726682305335999,True,0.9–1.0
ि,,0.9999946355819702,False,0.9–1.0
न,न,0.9987587928771973,True,0.9–1.0
्,,0.9933755993843079,False,0.9–1.0
न,,0.9741689562797546,False,0.9–1.0
ध,,0.961812436580658,False,0.9–1.0
ा,ा,0.9524907469749451,True,0.9–1.0
य,,0.9682283997535706,False,0.9–1.0
ा,ा,0.9998537302017212,True,0.9–1.0
स,स,0.5099496245384216,True,0.5–0.6
ा,ा,0.9994814991950989,True,0.9–1.0
ध,ध,0.9981841444969177,True,0.9–1.0
ल,ल,0.9964583516120911,True,0.9–1.0
ा,ा,0.9999921321868896,True,0.9–1.0
उन,उन,0.9999808073043823,True,0.9–1.0
्,्,0.9999963045120239,True,0.9–1.0
य,य,0.5910495519638062,True,0.5–0.6
ा,ा,0.9995676875114441,True,0.9–1.0
स,स,0.9999982118606567,True,0.9–1.0
ध,ध,0.9999779462814331,True,0.9–1.0
ि,ि,0.9999948740005493,True,0.9–1.0
य,य,0.999983549118042,True,0.9–1.0
ा,ा,0.9949104189872742,True,0.9–1.0
रम,रम,0.9999978542327881,True,0.9–1.0
ो,ो,0.9991476535797119,True,0.9–1.0
हन,,0.9968834519386292,False,0.9–1.0
ा,ा,0.8352370262145996,True,0.8–0.9
प,,0.9999880790710449,False,0.9–1.0
ञ,,0.4871674180030823,False,0.4–0.5
्,्,2.122529986081645e-05,True,0.0–0.1
य,य,0.9947354197502136,True,0.9–1.0
ा,ा,0.6315081119537354,True,0.6–0.7
ल,,0.00014580486458726227,False,0.0–0.1
स,,0.998753547668457,False,0.9–1.0
े,े,0.9998595714569092,True,0.9–1.0
चन,,0.8205054998397827,False,0.8–0.9
ा,ा,0.8475080728530884,True,0.8–0.9
थ,थ,0.9993919134140015,True,0.9–1.0
य,,0.6438235640525818,False,0.6–0.7
ा,ा,0.6401475667953491,True,0.6–0.7
ड,ड,1.6039222145991516e-06,True,0.0–0.1
े,े,0.9759446382522583,True,0.9–1.0
ज,,0.8414474725723267,False,0.8–0.9
्,्,0.9979506134986877,True,0.9–1.0
र,र,0.9999682903289795,True,0.9–1.0
ा,ा,0.9387633204460144,True,0.9–1.0
ह,ह,0.7593445181846619,True,0.7–0.8
ा,,1.523798005109711e-06,False,0.0–0.1
र,,0.00016874572611413896,False,0.0–0.1
ा,,0.023408759385347366,False,0.0–0.1
ट,ट,0.0022336046677082777,True,0.0–0.1
ो,ो,0.9999319314956665,True,0.9–1.0
लक,लक,6.913124650509417e-08,True,0.0–0.1
ो,ो,0.9956986904144287,True,0.9–1.0
आ,,5.218164369580336e-05,False,0.0–0.1
म,म,4.744847714732714e-08,True,0.0–0.1
ि,ि,4.150966859128857e-08,True,0.0–0.1
ज,,0.9825647473335266,False,0.9–1.0
ा,,0.0001160763786174357,False,0.0–0.1
स,,2.669599119542454e-08,False,0.0–0.1
िं,िं,1.9036239251590814e-09,True,0.0–0.1
ड,ड,4.5388267608359456e-05,True,0.0–0.1
ग,ग,6.489524935204827e-07,True,0.0–0.1
ो,ो,0.00010785090125864372,True,0.0–0.1
ल,ल,0.9998534917831421,True,0.9–1.0
ा,,0.999675989151001,False,0.9–1.0
मक,मक,0.9999054670333862,True,0.9–1.0
ो,ो,0.9999918937683105,True,0.9–1.0
वक,वक,0.999883770942688,True,0.9–1.0
्,्,0.9999992847442627,True,0.9–1.0
स,स,0.9999538660049438,True,0.9–1.0
ा,ा,0.9999958276748657,True,0.9–1.0
ज,ज,0.9999927282333374,True,0.9–1.0
ा,ा,0.9999960660934448,True,0.9–1.0
य,य,0.9999978542327881,True,0.9–1.0
े,े,0.9999966621398926,True,0.9–1.0
क,क,0.999992847442627,True,0.9–1.0
े,े,0.9999988079071045,True,0.9–1.0
ग,ग,0.9999929666519165,True,0.9–1.0
ु,ु,0.9999991655349731,True,0.9–1.0
ल,ल,0.9999985694885254,True,0.9–1.0
ा,ा,0.999998927116394,True,0.9–1.0
म,म,0.9999951124191284,True,0.9–1.0
अ,अ,0.9999243021011353,True,0.9–1.0
पन,पन,0.9999673366546631,True,0.9–1.0
े,े,0.9999305009841919,True,0.9–1.0
ह,ह,0.9999933242797852,True,0.9–1.0
क,क,0.9999871253967285,True,0.9–1.0
्,्,0.9999788999557495,True,0.9–1.0
म,म,0.9999957084655762,True,0.9–1.0
त,त,0.99998939037323,True,0.9–1.0
ल,ल,0.9999933242797852,True,0.9–1.0
व,व,0.9998646974563599,True,0.9–1.0
्,्,0.9999954700469971,True,0.9–1.0
क,क,0.9999547004699707,True,0.9–1.0
ो,ो,0.9999887943267822,True,0.9–1.0
प,प,0.999997615814209,True,0.9–1.0
ह,ह,0.9999977350234985,True,0.9–1.0
ु,ु,0.9999527931213379,True,0.9–1.0
च,च,0.9999978542327881,True,0.9–1.0
े,े,0.9999967813491821,True,0.9–1.0
आ,आ,0.9999760389328003,True,0.9–1.0
ग,ग,0.9999970197677612,True,0.9–1.0
े,े,0.9999973773956299,True,0.9–1.0
ग,ग,0.9999926090240479,True,0.9–1.0
ु,ु,0.9999983310699463,True,0.9–1.0
ल,ल,0.9999977350234985,True,0.9–1.0
ा,ा,0.999997615814209,True,0.9–1.0
म,म,0.999997615814209,True,0.9–1.0
ष,ष,0.9999992847442627,True,0.9–1.0
ा,ा,0.9999960660934448,True,0.9–1.0
भय,भय,0.999984860420227,True,0.9–1.0
ा,ा,0.9999982118606567,True,0.9–1.0
क,क,0.9999926090240479,True,0.9–1.0
ा,ा,0.9999977350234985,True,0.9–1.0
छन,छन,0.9999877214431763,True,0.9–1.0
्,्,0.9999237060546875,True,0.9–1.0
भन,भन,0.9999626874923706,True,0.9–1.0
ि,ि,0.9999986886978149,True,0.9–1.0
.,.,0.9999979734420776,True,0.9–1.0
ठ,ठ,0.9991821646690369,True,0.9–1.0
ो,ो,0.9999959468841553,True,0.9–1.0
प,प,0.9999984502792358,True,0.9–1.0
ि,ि,0.9999969005584717,True,0.9–1.0
प,प,0.9999964237213135,True,0.9–1.0
्,्,0.9999990463256836,True,0.9–1.0
र,र,0.9999988079071045,True,0.9–1.0
े,े,0.9999932050704956,True,0.9–1.0
न,न,0.9999967813491821,True,0.9–1.0
्,्,0.9999983310699463,True,0.9–1.0
स,स,0.9999979734420776,True,0.9–1.0
ि,ि,0.999997615814209,True,0.9–1.0
प,प,0.9999979734420776,True,0.9–1.0
्,्,0.9999943971633911,True,0.9–1.0
स,स,0.9999938011169434,True,0.9–1.0
ा,ा,0.9999992847442627,True,0.9–1.0
ह,ह,0.9999984502792358,True,0.9–1.0
व,व,0.9999899864196777,True,0.9–1.0
.,.,0.999998927116394,True,0.9–1.0
त,त,0.9999984502792358,True,0.9–1.0
े,े,0.9999984502792358,True,0.9–1.0
श,श,0.9999969005584717,True,0.9–1.0
्,्,0.9999933242797852,True,0.9–1.0
र,र,0.9999996423721313,True,0.9–1.0
ा,ा,0.999998927116394,True,0.9–1.0
क,क,0.9999980926513672,True,0.9–1.0
ौ,ौ,0.9999761581420898,True,0.9–1.0
सल,सल,0.9999885559082031,True,0.9–1.0
ि,ि,0.9999967813491821,True,0.9–1.0
ल,ल,0.9999974966049194,True,0.9–1.0
े,े,0.9999980926513672,True,0.9–1.0
.,.,0.9999973773956299,True,0.9–1.0
ह,ह,0.999687910079956,True,0.9–1.0
ा,ा,0.9999979734420776,True,0.9–1.0
फ,फ,0.9999960660934448,True,0.9–1.0
ि,ि,0.9999955892562866,True,0.9–1.0
ज,ज,0.9999920129776001,True,0.9–1.0
अ,अ,0.999968409538269,True,0.9–1.0
ह,ह,0.9999990463256836,True,0.9–1.0
मद,मद,0.9999632835388184,True,0.9–1.0
क,क,0.9999940395355225,True,0.9–1.0
व,व,0.9999949932098389,True,0.9–1.0
ि,ि,0.999998927116394,True,0.9–1.0
म,म,0.9985230565071106,True,0.9–1.0
ि,ि,0.999998927116394,True,0.9–1.0
म,म,0.9999411106109619,True,0.9–1.0
ा,ा,0.9999982118606567,True,0.9–1.0
ग,ग,0.9999955892562866,True,0.9–1.0
य,य,0.9999932050704956,True,0.9–1.0
ा,ा,0.9999960660934448,True,0.9–1.0
.,.,0.9999990463256836,True,0.9–1.0
आ,आ,0.9999984502792358,True,0.9–1.0
र,र,0.9999978542327881,True,0.9–1.0
्,्,0.9999972581863403,True,0.9–1.0
य,य,0.9999990463256836,True,0.9–1.0
ा,ा,0.9999141693115234,True,0.9–1.0
वल,वल,0.9999642372131348,True,0.9–1.0
ो,ो,0.9999815225601196,True,0.9–1.0
क,क,0.9999978542327881,True,0.9–1.0
ि,ि,0.9999909400939941,True,0.9–1.0
त,त,0.9999977350234985,True,0.9–1.0
े,े,0.9999957084655762,True,0.9–1.0
श,श,0.9999966621398926,True,0.9–1.0
्,्,0.9999992847442627,True,0.9–1.0
वर,वर,0.9995771050453186,True,0.9–1.0
ल,ल,0.9999897480010986,True,0.9–1.0
े,े,0.9999984502792358,True,0.9–1.0
आ,आ,0.9999853372573853,True,0.9–1.0
ज,ज,0.9999983310699463,True,0.9–1.0
्,्,0.9999977350234985,True,0.9–1.0
ञ,ञ,0.9999961853027344,True,0.9–1.0
ा,ा,0.9999983310699463,True,0.9–1.0
भय,भय,0.999933123588562,True,0.9–1.0
ा,ा,0.9999990463256836,True,0.9–1.0
व,व,0.999994158744812,True,0.9–1.0
