#,character,freq,relative_freq
1,ा,19516,11.503
2,्,13258,7.8145
3,र,11403,6.7211
4,न,7352,4.3334
5,ि,7352,4.3334
6,क,6798,4.0068
7,म,5749,3.3885
8,व,5575,3.286
9,त,5447,3.2105
10,स,5025,2.9618
11,.,4768,2.8103
12,य,4767,2.8097
13,ल,4726,2.7856
14,ह,4281,2.5233
15,ो,4158,2.4508
16,े,4153,2.4478
17,ु,3997,2.3559
18,प,3849,2.2687
19,द,3833,2.2592
20,ी,3527,2.0789
21,ग,3294,1.9415
22,ज,3192,1.8814
23,भ,2194,1.2932
24,ष,1902,1.1211
25,ं,1783,1.0509
26,श,1536,0.9053
27,ै,1461,0.8611
28,छ,1166,0.6873
29,च,1092,0.6436
30,ू,966,0.5694
31,आ,933,0.5499
32,ई,905,0.5334
33,उ,886,0.5222
34,ध,868,0.5116
35,अ,867,0.511
36,इ,799,0.4709
37,ट,796,0.4692
38,़,699,0.412
39,फ,691,0.4073
40,थ,678,0.3996
41,ड,673,0.3967
42,ण,643,0.379
43,ँ,569,0.3354
44,१,562,0.3313
45,ठ,491,0.2894
46,॥,426,0.2511
47,।,376,0.2216
48,ौ,310,0.1827
49,ञ,306,0.1804
50,२,275,0.1621
51,घ,259,0.1527
52,०,198,0.1167
53,३,192,0.1132
54,८,187,0.1102
55,ए,183,0.1079
56,ृ,177,0.1043
57,ढ,176,0.1037
58,५,174,0.1026
59,ब,147,0.0866
60,४,136,0.0802
61,झ,124,0.0731
62,ः,123,0.0725
63,६,121,0.0713
64,ख,116,0.0684
65,९,112,0.066
66,७,101,0.0595
67,:,82,0.0483
68,औ,69,0.0407
69,\,43,0.0253
70,ऊ,37,0.0218
71,ङ,35,0.0206
72,ऐ,24,0.0141
73,/,18,0.0106
74,ऋ,13,0.0077
75,`,13,0.0077
76,ओ,7,0.0041
77,-,5,0.0029
78,ऽ,4,0.0024
79,(,1,0.0006
80,),1,0.0006
